基金代码,基金名称,日期,单位净值,累计净值
XH489B,格雷长期价值16号B,20230310,1.0000,1.0000
XH489B,格雷长期价值16号B,20230317,1.0003,1.0003
XH489B,格雷长期价值16号B,20230320,1.0003,1.0003
XH489B,格雷长期价值16号B,20230324,1.0048,1.0048
XH489B,格雷长期价值16号B,20230331,1.0011,1.0011
XH489B,格雷长期价值16号B,20230407,0.9805,0.9805
XH489B,格雷长期价值16号B,20230414,0.9803,0.9803
XH489B,格雷长期价值16号B,20230420,0.9760,0.9760
XH489B,格雷长期价值16号B,20230421,0.9661,0.9661
XH489B,格雷长期价值16号B,20230428,0.9589,0.9589
XH489B,格雷长期价值16号B,20230505,0.9540,0.9540
XH489B,格雷长期价值16号B,20230512,0.9384,0.9384
XH489B,格雷长期价值16号B,20230519,0.9409,0.9409
XH489B,格雷长期价值16号B,20230522,0.9493,0.9493
XH489B,格雷长期价值16号B,20230526,0.9336,0.9336
XH489B,格雷长期价值16号B,20230602,0.9363,0.9363
XH489B,格雷长期价值16号B,20230609,0.9341,0.9341
XH489B,格雷长期价值16号B,20230616,0.9689,0.9689
XH489B,格雷长期价值16号B,20230620,0.9539,0.9539
XH489B,格雷长期价值16号B,20230621,0.9398,0.9398
XH489B,格雷长期价值16号B,20230630,0.9272,0.9272
XH489B,格雷长期价值16号B,20230707,0.9174,0.9174
XH489B,格雷长期价值16号B,20230714,0.9431,0.9431
XH489B,格雷长期价值16号B,20230720,0.9277,0.9277
XH489B,格雷长期价值16号B,20230721,0.9318,0.9318
XH489B,格雷长期价值16号B,20230728,0.9670,0.9670
XH489B,格雷长期价值16号B,20230804,0.9619,0.9619
XH489B,格雷长期价值16号B,20230811,0.9420,0.9420
XH489B,格雷长期价值16号B,20230816,0.9420,0.9420
XH489B,格雷长期价值16号B,20230817,0.9420,0.9420
XH489B,格雷长期价值16号B,20230818,0.9209,0.9209
XH489B,格雷长期价值16号B,20230821,0.9147,0.9147
XH489B,格雷长期价值16号B,20230825,0.9162,0.9162
XH489B,格雷长期价值16号B,20230901,0.9221,0.9221
XH489B,格雷长期价值16号B,20230908,0.9143,0.9143
XH489B,格雷长期价值16号B,20230915,0.9176,0.9176
XH489B,格雷长期价值16号B,20230920,0.9106,0.9106
XH489B,格雷长期价值16号B,20230922,0.9136,0.9136
XH489B,格雷长期价值16号B,20230928,0.9027,0.9027
XH489B,格雷长期价值16号B,20231013,0.9076,0.9076
XH489B,格雷长期价值16号B,20231020,0.8852,0.8852
XH489B,格雷长期价值16号B,20231027,0.9011,0.9011
XH489B,格雷长期价值16号B,20231103,0.9139,0.9139
XH489B,格雷长期价值16号B,20231110,0.9120,0.9120
XH489B,格雷长期价值16号B,20231117,0.9165,0.9165
XH489B,格雷长期价值16号B,20231120,0.9278,0.9278
XH489B,格雷长期价值16号B,20231124,0.9236,0.9236
XH489B,格雷长期价值16号B,20231201,0.9119,0.9119
XH489B,格雷长期价值16号B,20231208,0.8860,0.8860
XH489B,格雷长期价值16号B,20231215,0.8775,0.8775
XH489B,格雷长期价值16号B,20231220,0.8703,0.8703
XH489B,格雷长期价值16号B,20231222,0.8603,0.8603
XH489B,格雷长期价值16号B,20231229,0.8756,0.8756
XH489B,格雷长期价值16号B,20240105,0.8616,0.8616
XH489B,格雷长期价值16号B,20240112,0.8480,0.8480
XH489B,格雷长期价值16号B,20240119,0.8451,0.8451
XH489B,格雷长期价值16号B,20240122,0.8415,0.8415
XH489B,格雷长期价值16号B,20240126,0.8490,0.8490
XH489B,格雷长期价值16号B,20240202,0.8045,0.8045
XH489B,格雷长期价值16号B,20240208,0.8371,0.8371
XH489B,格雷长期价值16号B,20240220,0.8379,0.8379
XH489B,格雷长期价值16号B,20240223,0.8450,0.8450
XH489B,格雷长期价值16号B,20240301,0.8471,0.8471
XH489B,格雷长期价值16号B,20240308,0.8447,0.8447
XH489B,格雷长期价值16号B,20240315,0.8558,0.8558
XH489B,格雷长期价值16号B,20240320,0.8576,0.8576
XH489B,格雷长期价值16号B,20240322,0.8548,0.8548
XH489B,格雷长期价值16号B,20240329,0.8511,0.8511
XH489B,格雷长期价值16号B,20240403,0.8545,0.8545
XH489B,格雷长期价值16号B,20240412,0.8418,0.8418
XH489B,格雷长期价值16号B,20240419,0.8500,0.8500
XH489B,格雷长期价值16号B,20240422,0.8535,0.8535
XH489B,格雷长期价值16号B,20240426,0.8585,0.8585
XH489B,格雷长期价值16号B,20240430,0.8651,0.8651
XH489B,格雷长期价值16号B,20240510,0.8775,0.8775
XH489B,格雷长期价值16号B,20240517,0.8804,0.8804
XH489B,格雷长期价值16号B,20240520,0.8800,0.8800
XH489B,格雷长期价值16号B,20240524,0.8658,0.8658
XH489B,格雷长期价值16号B,20240531,0.8566,0.8566
XH489B,格雷长期价值16号B,20240607,0.8537,0.8537
XH489B,格雷长期价值16号B,20240614,0.8395,0.8395
XH489B,格雷长期价值16号B,20240620,0.8247,0.8247
XH489B,格雷长期价值16号B,20240621,0.8202,0.8202
XH489B,格雷长期价值16号B,20240628,0.8097,0.8097
XH489B,格雷长期价值16号B,20240705,0.8057,0.8057
XH489B,格雷长期价值16号B,20240712,0.8095,0.8095
XH489B,格雷长期价值16号B,20240719,0.8357,0.8357
XH489B,格雷长期价值16号B,20240722,0.8326,0.8326
XH489B,格雷长期价值16号B,20240726,0.8022,0.8022
XH489B,格雷长期价值16号B,20240802,0.7967,0.7967
XH489B,格雷长期价值16号B,20240809,0.8035,0.8035
XH489B,格雷长期价值16号B,20240816,0.7996,0.7996
XH489B,格雷长期价值16号B,20240820,0.7942,0.7942
XH489B,格雷长期价值16号B,20240823,0.7933,0.7933
XH489B,格雷长期价值16号B,20240830,0.7977,0.7977
XH489B,格雷长期价值16号B,20240906,0.7858,0.7858
XH489B,格雷长期价值16号B,20240913,0.7689,0.7689
XH489B,格雷长期价值16号B,20240920,0.7604,0.7604
XH489B,格雷长期价值16号B,20240927,0.7998,0.7998
XH489B,格雷长期价值16号B,20240930,0.8195,0.8195
XH489B,格雷长期价值16号B,20241011,0.7726,0.7726
XH489B,格雷长期价值16号B,20241018,0.7522,0.7522
XH489B,格雷长期价值16号B,20241021,0.7604,0.7604
XH489B,格雷长期价值16号B,20241025,0.7663,0.7663
XH489B,格雷长期价值16号B,20241101,0.7653,0.7653
XH489B,格雷长期价值16号B,20241108,0.8183,0.8183
XH489B,格雷长期价值16号B,20241115,0.7855,0.7855
XH489B,格雷长期价值16号B,20241120,0.7831,0.7831
XH489B,格雷长期价值16号B,20241122,0.7538,0.7538
XH489B,格雷长期价值16号B,20241129,0.7622,0.7622
XH489B,格雷长期价值16号B,20241206,0.7567,0.7567
XH489B,格雷长期价值16号B,20241213,0.7565,0.7565
XH489B,格雷长期价值16号B,20241220,0.7484,0.7484
XH489B,格雷长期价值16号B,20241227,0.7444,0.7444
XH489B,格雷长期价值16号B,20250103,0.7025,0.7025
XH489B,格雷长期价值16号B,20250110,0.6790,0.6790
XH489B,格雷长期价值16号B,20250117,0.6927,0.6927
XH489B,格雷长期价值16号B,20250120,0.6978,0.6978
XH489B,格雷长期价值16号B,20250124,0.6818,0.6818
XH489B,格雷长期价值16号B,20250127,0.6841,0.6841
XH489B,格雷长期价值16号B,20250207,0.6912,0.6912
XH489B,格雷长期价值16号B,20250214,0.7068,0.7068
XH489B,格雷长期价值16号B,20250220,0.6974,0.6974
XH489B,格雷长期价值16号B,20250221,0.7015,0.7015
XH489B,格雷长期价值16号B,20250228,0.7079,0.7079
XH489B,格雷长期价值16号B,20250307,0.7217,0.7217
XH489B,格雷长期价值16号B,20250314,0.7584,0.7584
XH489B,格雷长期价值16号B,20250320,0.7377,0.7377
XH489B,格雷长期价值16号B,20250321,0.7260,0.7260
XH489B,格雷长期价值16号B,20250328,0.7273,0.7273
XH489B,格雷长期价值16号B,20250403,0.7262,0.7262
XH489B,格雷长期价值16号B,20250411,0.7250,0.7250
VZ606B,宽德中证1000指数增强7号B,20220822,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220823,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220824,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220825,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220826,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220829,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220830,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220831,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220901,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220902,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220905,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220909,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220916,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220923,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220926,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20220930,1.0000,1.0000
VZ606B,宽德中证1000指数增强7号B,20221014,1.0060,1.0060
VZ606B,宽德中证1000指数增强7号B,20221021,1.0060,1.0060
VZ606B,宽德中证1000指数增强7号B,20221025,0.9950,0.9950
VZ606B,宽德中证1000指数增强7号B,20221028,0.9780,0.9780
VZ606B,宽德中证1000指数增强7号B,20221104,1.0670,1.0670
VZ606B,宽德中证1000指数增强7号B,20221111,1.0560,1.0560
VZ606B,宽德中证1000指数增强7号B,20221118,1.0600,1.0600
VZ606B,宽德中证1000指数增强7号B,20221125,1.0410,1.0410
VZ606B,宽德中证1000指数增强7号B,20221202,1.0690,1.0690
VZ606B,宽德中证1000指数增强7号B,20221209,1.0770,1.0770
VZ606B,宽德中证1000指数增强7号B,20221216,1.0550,1.0550
VZ606B,宽德中证1000指数增强7号B,20221223,0.9960,0.9960
VZ606B,宽德中证1000指数增强7号B,20221226,1.0220,1.0220
VZ606B,宽德中证1000指数增强7号B,20221230,1.0170,1.0170
VZ606B,宽德中证1000指数增强7号B,20230106,1.0510,1.0510
VZ606B,宽德中证1000指数增强7号B,20230113,1.0510,1.0510
VZ606B,宽德中证1000指数增强7号B,20230120,1.0810,1.0810
VZ606B,宽德中证1000指数增强7号B,20230130,1.0920,1.0920
VZ606B,宽德中证1000指数增强7号B,20230203,1.1130,1.1130
VZ606B,宽德中证1000指数增强7号B,20230210,1.1140,1.1140
VZ606B,宽德中证1000指数增强7号B,20230217,1.0950,1.0950
VZ606B,宽德中证1000指数增强7号B,20230224,1.1100,1.1100
VZ606B,宽德中证1000指数增强7号B,20230227,1.1010,1.1010
VZ606B,宽德中证1000指数增强7号B,20230303,1.1180,1.1180
VZ606B,宽德中证1000指数增强7号B,20230310,1.0930,1.0930
VZ606B,宽德中证1000指数增强7号B,20230317,1.0960,1.0960
VZ606B,宽德中证1000指数增强7号B,20230324,1.1400,1.1400
VZ606B,宽德中证1000指数增强7号B,20230327,1.1460,1.1460
VZ606B,宽德中证1000指数增强7号B,20230331,1.1480,1.1480
VZ606B,宽德中证1000指数增强7号B,20230407,1.1870,1.1870
VZ606B,宽德中证1000指数增强7号B,20230414,1.1930,1.1930
VZ606B,宽德中证1000指数增强7号B,20230421,1.1820,1.1820
VZ606B,宽德中证1000指数增强7号B,20230425,1.1590,1.1590
VZ606B,宽德中证1000指数增强7号B,20230428,1.1830,1.1830
VZ606B,宽德中证1000指数增强7号B,20230505,1.1730,1.1730
VZ606B,宽德中证1000指数增强7号B,20230512,1.1630,1.1630
VZ606B,宽德中证1000指数增强7号B,20230516,1.1630,1.1630
VZ606B,宽德中证1000指数增强7号B,20230519,1.1820,1.1820
VZ606B,宽德中证1000指数增强7号B,20230525,1.1660,1.1660
VZ606B,宽德中证1000指数增强7号B,20230526,1.1770,1.1770
VZ606B,宽德中证1000指数增强7号B,20230602,1.2050,1.2050
VZ606B,宽德中证1000指数增强7号B,20230609,1.2060,1.2060
VZ606B,宽德中证1000指数增强7号B,20230616,1.2480,1.2480
VZ606B,宽德中证1000指数增强7号B,20230621,1.2210,1.2210
VZ606B,宽德中证1000指数增强7号B,20230626,1.1940,1.1940
VZ606B,宽德中证1000指数增强7号B,20230630,1.2300,1.2300
VZ606B,宽德中证1000指数增强7号B,20230707,1.2190,1.2190
VZ606B,宽德中证1000指数增强7号B,20230714,1.2310,1.2310
VZ606B,宽德中证1000指数增强7号B,20230721,1.1980,1.1980
VZ606B,宽德中证1000指数增强7号B,20230724,1.0650,1.1990
VZ606B,宽德中证1000指数增强7号B,20230725,1.0820,1.2160
VZ606B,宽德中证1000指数增强7号B,20230728,1.0740,1.2080
VZ606B,宽德中证1000指数增强7号B,20230804,1.0940,1.2280
VZ606B,宽德中证1000指数增强7号B,20230811,1.0540,1.1880
VZ606B,宽德中证1000指数增强7号B,20230816,1.0540,1.1880
VZ606B,宽德中证1000指数增强7号B,20230817,1.0540,1.1880
VZ606B,宽德中证1000指数增强7号B,20230818,1.0300,1.1640
VZ606B,宽德中证1000指数增强7号B,20230825,0.9970,1.1310
VZ606B,宽德中证1000指数增强7号B,20230901,1.0430,1.1770
VZ606B,宽德中证1000指数增强7号B,20230908,1.0370,1.1710
VZ606B,宽德中证1000指数增强7号B,20230915,1.0280,1.1620
VZ606B,宽德中证1000指数增强7号B,20230922,1.0350,1.1690
VZ606B,宽德中证1000指数增强7号B,20230925,1.0300,1.1640
VZ606B,宽德中证1000指数增强7号B,20230928,1.0420,1.1760
VZ606B,宽德中证1000指数增强7号B,20231013,1.0380,1.1720
VZ606B,宽德中证1000指数增强7号B,20231020,0.9880,1.1220
VZ606B,宽德中证1000指数增强7号B,20231025,0.9930,1.1270
VZ606B,宽德中证1000指数增强7号B,20231027,1.0140,1.1480
VZ606B,宽德中证1000指数增强7号B,20231103,1.0220,1.1560
VZ606B,宽德中证1000指数增强7号B,20231110,1.0530,1.1870
VZ606B,宽德中证1000指数增强7号B,20231117,1.0760,1.2100
VZ606B,宽德中证1000指数增强7号B,20231124,1.0650,1.1990
VZ606B,宽德中证1000指数增强7号B,20231127,1.0670,1.2010
VZ606B,宽德中证1000指数增强7号B,20231201,1.0720,1.2060
VZ606B,宽德中证1000指数增强7号B,20231208,1.0530,1.1870
VZ606B,宽德中证1000指数增强7号B,20231215,1.0460,1.1800
VZ606B,宽德中证1000指数增强7号B,20231222,1.0160,1.1500
VZ606B,宽德中证1000指数增强7号B,20231225,1.0180,1.1520
VZ606B,宽德中证1000指数增强7号B,20231229,1.0430,1.1770
VZ606B,宽德中证1000指数增强7号B,20240105,1.0090,1.1430
VZ606B,宽德中证1000指数增强7号B,20240112,0.9980,1.1320
VZ606B,宽德中证1000指数增强7号B,20240119,0.9560,1.0900
VZ606B,宽德中证1000指数增强7号B,20240125,0.9580,1.0920
VZ606B,宽德中证1000指数增强7号B,20240126,0.9520,1.0860
VZ606B,宽德中证1000指数增强7号B,20240202,0.8160,0.9500
VZ606B,宽德中证1000指数增强7号B,20240208,0.8380,0.9720
VZ606B,宽德中证1000指数增强7号B,20240223,0.9350,1.0690
VZ606B,宽德中证1000指数增强7号B,20240226,0.9470,1.0810
VZ606B,宽德中证1000指数增强7号B,20240301,0.9690,1.1030
VZ606B,宽德中证1000指数增强7号B,20240308,0.9650,1.0990
VZ606B,宽德中证1000指数增强7号B,20240315,1.0050,1.1390
VZ606B,宽德中证1000指数增强7号B,20240322,1.0170,1.1510
VZ606B,宽德中证1000指数增强7号B,20240325,0.9940,1.1280
VZ606B,宽德中证1000指数增强7号B,20240329,0.9930,1.1270
VZ606B,宽德中证1000指数增强7号B,20240403,1.0050,1.1390
VZ606B,宽德中证1000指数增强7号B,20240412,0.9740,1.1080
VZ606B,宽德中证1000指数增强7号B,20240419,0.9480,1.0820
VZ606B,宽德中证1000指数增强7号B,20240425,0.9700,1.1040
VZ606B,宽德中证1000指数增强7号B,20240426,0.9900,1.1240
VZ606B,宽德中证1000指数增强7号B,20240430,1.0080,1.1420
VZ606B,宽德中证1000指数增强7号B,20240510,1.0270,1.1610
VZ606B,宽德中证1000指数增强7号B,20240517,1.0300,1.1640
VZ606B,宽德中证1000指数增强7号B,20240524,0.9990,1.1330
VZ606B,宽德中证1000指数增强7号B,20240527,1.0080,1.1420
VZ606B,宽德中证1000指数增强7号B,20240531,1.0010,1.1350
VZ606B,宽德中证1000指数增强7号B,20240607,0.9570,1.0910
VZ606B,宽德中证1000指数增强7号B,20240614,0.9650,1.0990
VZ606B,宽德中证1000指数增强7号B,20240621,0.9420,1.0760
VZ606B,宽德中证1000指数增强7号B,20240625,0.9080,1.0420
VZ606B,宽德中证1000指数增强7号B,20240628,0.9210,1.0550
VZ606B,宽德中证1000指数增强7号B,20240705,0.9110,1.0450
VZ606B,宽德中证1000指数增强7号B,20240712,0.9230,1.0570
VZ606B,宽德中证1000指数增强7号B,20240719,0.9100,1.0440
VZ606B,宽德中证1000指数增强7号B,20240725,0.8780,1.0120
VZ606B,宽德中证1000指数增强7号B,20240726,0.8930,1.0270
VZ606B,宽德中证1000指数增强7号B,20240802,0.9230,1.0570
VZ606B,宽德中证1000指数增强7号B,20240809,0.9090,1.0430
VZ606B,宽德中证1000指数增强7号B,20240816,0.9030,1.0370
VZ606B,宽德中证1000指数增强7号B,20240823,0.8680,1.0020
VZ606B,宽德中证1000指数增强7号B,20240826,0.8760,1.0100
VZ606B,宽德中证1000指数增强7号B,20240830,0.8980,1.0320
VZ606B,宽德中证1000指数增强7号B,20240906,0.8780,1.0120
VZ606B,宽德中证1000指数增强7号B,20240913,0.8600,0.9940
VZ606B,宽德中证1000指数增强7号B,20240920,0.8730,1.0070
VZ606B,宽德中证1000指数增强7号B,20240925,0.9220,1.0560
VZ606B,宽德中证1000指数增强7号B,20240927,1.0100,1.1440
VZ606B,宽德中证1000指数增强7号B,20240930,1.1150,1.2490
VZ606B,宽德中证1000指数增强7号B,20241011,1.0480,1.1820
VZ606B,宽德中证1000指数增强7号B,20241018,1.1130,1.2470
VZ606B,宽德中证1000指数增强7号B,20241025,1.1790,1.3130
VZ606B,宽德中证1000指数增强7号B,20241101,1.1900,1.3240
VZ606B,宽德中证1000指数增强7号B,20241108,1.2960,1.4300
VZ606B,宽德中证1000指数增强7号B,20241115,1.2460,1.3800
VZ606B,宽德中证1000指数增强7号B,20241122,1.2460,1.3800
VZ606B,宽德中证1000指数增强7号B,20241125,1.2570,1.3910
VZ606B,宽德中证1000指数增强7号B,20241129,1.2930,1.4270
VZ606B,宽德中证1000指数增强7号B,20241206,1.3470,1.4810
VZ606B,宽德中证1000指数增强7号B,20241213,1.3600,1.4940
VZ606B,宽德中证1000指数增强7号B,20241220,1.3380,1.4720
VZ606B,宽德中证1000指数增强7号B,20241225,1.2830,1.4170
VZ606B,宽德中证1000指数增强7号B,20241227,1.3080,1.4420
VZ606B,宽德中证1000指数增强7号B,20250103,1.1980,1.3320
VZ606B,宽德中证1000指数增强7号B,20250110,1.1940,1.3280
VZ606B,宽德中证1000指数增强7号B,20250117,1.2640,1.3980
VZ606B,宽德中证1000指数增强7号B,20250124,1.0000,1.4100
VZ606B,宽德中证1000指数增强7号B,20250127,0.9880,1.3980
VZ606B,宽德中证1000指数增强7号B,20250207,1.0440,1.4540
VZ606B,宽德中证1000指数增强7号B,20250214,1.0680,1.4780
VZ606B,宽德中证1000指数增强7号B,20250221,1.1070,1.5170
VZ606B,宽德中证1000指数增强7号B,20250225,1.1090,1.5190
VZ606B,宽德中证1000指数增强7号B,20250228,1.0890,1.4990
VZ606B,宽德中证1000指数增强7号B,20250307,1.1410,1.5510
VZ606B,宽德中证1000指数增强7号B,20250314,1.1680,1.5780
VZ606B,宽德中证1000指数增强7号B,20250321,1.1570,1.5670
VZ606B,宽德中证1000指数增强7号B,20250325,1.1410,1.5510
VZ606B,宽德中证1000指数增强7号B,20250328,1.1320,1.5420
VZ606B,宽德中证1000指数增强7号B,20250403,1.1230,1.5330
VZ606B,宽德中证1000指数增强7号B,20250411,1.0570,1.4670
TW548B,细水居20号B,20220817,1.0000,1.0000
TW548B,细水居20号B,20220818,1.0000,1.0000
TW548B,细水居20号B,20220819,1.0000,1.0000
TW548B,细水居20号B,20220822,1.0000,1.0000
TW548B,细水居20号B,20220823,1.0000,1.0000
TW548B,细水居20号B,20220824,1.0000,1.0000
TW548B,细水居20号B,20220825,1.0000,1.0000
TW548B,细水居20号B,20220826,1.0001,1.0001
TW548B,细水居20号B,20220902,0.9998,0.9998
TW548B,细水居20号B,20220909,1.0006,1.0006
TW548B,细水居20号B,20220916,0.9728,0.9728
TW548B,细水居20号B,20220923,0.9808,0.9808
TW548B,细水居20号B,20220930,0.9577,0.9577
TW548B,细水居20号B,20221010,0.9826,0.9826
TW548B,细水居20号B,20221014,0.9743,0.9743
TW548B,细水居20号B,20221021,0.9864,0.9864
TW548B,细水居20号B,20221028,1.0369,1.0369
TW548B,细水居20号B,20221104,1.0487,1.0487
TW548B,细水居20号B,20221111,1.0493,1.0493
TW548B,细水居20号B,20221118,1.0608,1.0608
TW548B,细水居20号B,20221125,1.0823,1.0823
TW548B,细水居20号B,20221202,1.0196,1.0196
TW548B,细水居20号B,20221209,1.0108,1.0108
TW548B,细水居20号B,20221214,1.0103,1.0103
TW548B,细水居20号B,20221216,0.9975,0.9975
TW548B,细水居20号B,20221223,1.0586,1.0586
TW548B,细水居20号B,20221230,1.0324,1.0324
TW548B,细水居20号B,20230106,1.0250,1.0250
TW548B,细水居20号B,20230112,1.0284,1.0284
TW548B,细水居20号B,20230113,1.0545,1.0545
TW548B,细水居20号B,20230120,1.0928,1.0928
TW548B,细水居20号B,20230130,1.1083,1.1083
TW548B,细水居20号B,20230203,1.1164,1.1164
TW548B,细水居20号B,20230210,1.0977,1.0977
TW548B,细水居20号B,20230217,1.0607,1.0607
TW548B,细水居20号B,20230224,1.0370,1.0370
TW548B,细水居20号B,20230303,1.0334,1.0334
TW548B,细水居20号B,20230310,1.0033,1.0033
TW548B,细水居20号B,20230317,0.9530,0.9530
TW548B,细水居20号B,20230324,0.9651,0.9651
TW548B,细水居20号B,20230331,0.9569,0.9569
TW548B,细水居20号B,20230406,0.9751,0.9751
TW548B,细水居20号B,20230407,0.9929,0.9929
TW548B,细水居20号B,20230414,0.9867,0.9867
TW548B,细水居20号B,20230421,1.0256,1.0256
TW548B,细水居20号B,20230428,1.0765,1.0765
TW548B,细水居20号B,20230505,1.0766,1.0766
TW548B,细水居20号B,20230512,1.0581,1.0581
TW548B,细水居20号B,20230519,1.0604,1.0604
TW548B,细水居20号B,20230526,1.0404,1.0404
TW548B,细水居20号B,20230602,1.0412,1.0412
TW548B,细水居20号B,20230609,1.0520,1.0520
TW548B,细水居20号B,20230616,1.1001,1.1001
TW548B,细水居20号B,20230621,1.0897,1.0897
TW548B,细水居20号B,20230626,1.1195,1.1195
TW548B,细水居20号B,20230630,1.0835,1.0835
TW548B,细水居20号B,20230707,1.0521,1.0521
TW548B,细水居20号B,20230714,1.0652,1.0652
TW548B,细水居20号B,20230721,1.0384,1.0384
TW548B,细水居20号B,20230728,1.0676,1.0676
TW548B,细水居20号B,20230804,1.0684,1.0684
TW548B,细水居20号B,20230811,1.1036,1.1036
TW548B,细水居20号B,20230816,1.1036,1.1036
TW548B,细水居20号B,20230817,1.1036,1.1036
TW548B,细水居20号B,20230818,1.1520,1.1520
TW548B,细水居20号B,20230825,1.2128,1.2128
TW548B,细水居20号B,20230901,1.1822,1.1822
TW548B,细水居20号B,20230908,1.1652,1.1652
TW548B,细水居20号B,20230915,1.1441,1.1441
TW548B,细水居20号B,20230922,1.1755,1.1755
TW548B,细水居20号B,20230928,1.1576,1.1576
TW548B,细水居20号B,20231009,1.1540,1.1540
TW548B,细水居20号B,20231013,1.1566,1.1566
TW548B,细水居20号B,20231020,1.2015,1.2015
TW548B,细水居20号B,20231027,1.1692,1.1692
TW548B,细水居20号B,20231103,1.1864,1.1864
TW548B,细水居20号B,20231110,1.1970,1.1970
TW548B,细水居20号B,20231117,1.1829,1.1829
TW548B,细水居20号B,20231124,1.2103,1.2103
TW548B,细水居20号B,20231201,1.2099,1.2099
TW548B,细水居20号B,20231208,1.2459,1.2459
TW548B,细水居20号B,20231215,1.2523,1.2523
TW548B,细水居20号B,20231222,1.3058,1.3058
TW548B,细水居20号B,20231229,1.3101,1.3101
TW548B,细水居20号B,20240105,1.3212,1.3212
TW548B,细水居20号B,20240112,1.3526,1.3526
TW548B,细水居20号B,20240119,1.3821,1.3821
TW548B,细水居20号B,20240126,1.4021,1.4021
TW548B,细水居20号B,20240202,1.4759,1.4759
TW548B,细水居20号B,20240208,1.6134,1.6134
TW548B,细水居20号B,20240219,1.6034,1.6034
TW548B,细水居20号B,20240223,1.6201,1.6201
TW548B,细水居20号B,20240227,1.1000,1.6227
TW548B,细水居20号B,20240301,1.0963,1.6190
TW548B,细水居20号B,20240305,1.1078,1.6305
TW548B,细水居20号B,20240308,1.0996,1.6223
TW548B,细水居20号B,20240315,1.0907,1.6134
TW548B,细水居20号B,20240322,1.1041,1.6268
TW548B,细水居20号B,20240329,1.0922,1.6149
TW548B,细水居20号B,20240403,1.0845,1.6072
TW548B,细水居20号B,20240408,1.0981,1.6208
TW548B,细水居20号B,20240412,1.0723,1.5950
TW548B,细水居20号B,20240419,1.0700,1.5927
TW548B,细水居20号B,20240426,1.0876,1.6103
TW548B,细水居20号B,20240430,1.1101,1.6328
TW548B,细水居20号B,20240506,1.1012,1.6239
TW548B,细水居20号B,20240510,1.0795,1.6022
TW548B,细水居20号B,20240517,1.0860,1.6087
TW548B,细水居20号B,20240524,1.1173,1.6400
TW548B,细水居20号B,20240531,1.0966,1.6193
TW548B,细水居20号B,20240607,1.0996,1.6223
TW548B,细水居20号B,20240614,1.0623,1.5850
TW548B,细水居20号B,20240621,1.0951,1.6178
TW548B,细水居20号B,20240628,1.0956,1.6183
TW548B,细水居20号B,20240705,1.0947,1.6174
TW548B,细水居20号B,20240712,1.0776,1.6003
TW548B,细水居20号B,20240719,1.1033,1.6260
TW548B,细水居20号B,20240726,1.1448,1.6675
TW548B,细水居20号B,20240729,1.1338,1.6565
TW548B,细水居20号B,20240802,1.1295,1.6522
TW548B,细水居20号B,20240809,1.1347,1.6574
TW548B,细水居20号B,20240816,1.1241,1.6468
TW548B,细水居20号B,20240823,1.1299,1.6526
TW548B,细水居20号B,20240830,1.1645,1.6872
TW548B,细水居20号B,20240906,1.2380,1.7607
TW548B,细水居20号B,20240913,1.2287,1.7514
TW548B,细水居20号B,20240920,1.2463,1.7690
TW548B,细水居20号B,20240927,1.2992,1.8219
TW548B,细水居20号B,20240930,1.3961,1.9188
TW548B,细水居20号B,20241008,1.4855,2.0082
TW548B,细水居20号B,20241011,1.4820,2.0047
TW548B,细水居20号B,20241018,1.4341,1.9568
TW548B,细水居20号B,20241025,1.4219,1.9446
TW548B,细水居20号B,20241101,1.3473,1.8700
TW548B,细水居20号B,20241108,1.3402,1.8629
TW548B,细水居20号B,20241115,1.3401,1.8628
TW548B,细水居20号B,20241122,1.3283,1.8510
TW548B,细水居20号B,20241129,1.2903,1.8130
TW548B,细水居20号B,20241206,1.2986,1.8213
TW548B,细水居20号B,20241213,1.2501,1.7728
TW548B,细水居20号B,20241220,1.3225,1.8452
TW548B,细水居20号B,20241227,1.3076,1.8303
TW548B,细水居20号B,20250103,1.4071,1.9298
TW548B,细水居20号B,20250110,1.4177,1.9404
TW548B,细水居20号B,20250117,1.4112,1.9339
TW548B,细水居20号B,20250124,1.3771,1.8998
TW548B,细水居20号B,20250127,1.3718,1.8945
TW548B,细水居20号B,20250205,1.3643,1.8870
TW548B,细水居20号B,20250207,1.3857,1.9084
TW548B,细水居20号B,20250214,1.3823,1.9050
TW548B,细水居20号B,20250221,1.3878,1.9105
