基金代码,基金名称,日期,单位净值,累计净值
SAFG55,均成均享1号1期,2024-06-07,1.0,1.0
SAFG55,均成均享1号1期,2024-06-14,1.0,1.0
SAFG55,均成均享1号1期,2024-06-17,1.0,1.0
SAFG55,均成均享1号1期,2024-06-18,1.0,1.0
SAFG55,均成均享1号1期,2024-06-19,1.0,1.0
SAFG55,均成均享1号1期,2024-06-20,1.0,1.0
SAFG55,均成均享1号1期,2024-06-21,1.0,1.0
SAFG55,均成均享1号1期,2024-06-24,1.0,1.0
SAFG55,均成均享1号1期,2024-06-25,1.0,1.0
SAFG55,均成均享1号1期,2024-06-26,1.0,1.0
SAFG55,均成均享1号1期,2024-06-27,1.0,1.0
SAFG55,均成均享1号1期,2024-06-28,1.0001,1.0001
SAFG55,均成均享1号1期,2024-07-05,1.0,1.0
SAFG55,均成均享1号1期,2024-07-12,0.9999,0.9999
SAFG55,均成均享1号1期,2024-07-15,0.9998,0.9998
SAFG55,均成均享1号1期,2024-07-19,0.9998,0.9998
SAFG55,均成均享1号1期,2024-07-26,1.0005,1.0005
SAFG55,均成均享1号1期,2024-07-31,1.0118,1.0118
SAFG55,均成均享1号1期,2024-08-02,1.006,1.006
SAFG55,均成均享1号1期,2024-08-09,1.006,1.006
SAFG55,均成均享1号1期,2024-08-15,1.0226,1.0226
SAFG55,均成均享1号1期,2024-08-16,1.019,1.019
SAFG55,均成均享1号1期,2024-08-23,1.0077,1.0077
SAFG55,均成均享1号1期,2024-08-30,1.0144,1.0144
SAFG55,均成均享1号1期,2024-09-06,1.0196,1.0196
SAFG55,均成均享1号1期,2024-09-13,1.0087,1.0087
SAFG55,均成均享1号1期,2024-09-18,1.0141,1.0141
SAFG55,均成均享1号1期,2024-09-20,1.016,1.016
SAFG55,均成均享1号1期,2024-09-27,1.0066,1.0066
SAFG55,均成均享1号1期,2024-09-30,0.997,0.997
SAFG55,均成均享1号1期,2024-10-11,1.0205,1.0205
SAFG55,均成均享1号1期,2024-10-15,1.0094,1.0094
SAFG55,均成均享1号1期,2024-10-18,1.0098,1.0098
SAFG55,均成均享1号1期,2024-10-25,1.0265,1.0265
SAFG55,均成均享1号1期,2024-10-31,1.0256,1.0256
SAFG55,均成均享1号1期,2024-11-01,1.0264,1.0264
SAFG55,均成均享1号1期,2024-11-08,1.0314,1.0314
SAFG55,均成均享1号1期,2024-11-15,1.0338,1.0338
SAFG55,均成均享1号1期,2024-11-22,1.0346,1.0346
SAFG55,均成均享1号1期,2024-11-29,1.0277,1.0277
SAFG55,均成均享1号1期,2024-12-06,1.0328,1.0328
SAFG55,均成均享1号1期,2024-12-13,1.0262,1.0262
SAFG55,均成均享1号1期,2024-12-16,1.0334,1.0334
SAFG55,均成均享1号1期,2024-12-20,1.0219,1.0219
SAFG55,均成均享1号1期,2024-12-27,1.0274,1.0274
SAFG55,均成均享1号1期,2024-12-31,1.0241,1.0241
SAFG55,均成均享1号1期,2025-01-03,1.0227,1.0227
SAFG55,均成均享1号1期,2025-01-10,1.0018,1.0018
SAFG55,均成均享1号1期,2025-01-15,1.0247,1.0247
SAFG55,均成均享1号1期,2025-01-17,1.0202,1.0202
SAFG55,均成均享1号1期,2025-01-24,1.0156,1.0156
SAFG55,均成均享1号1期,2025-01-27,1.0121,1.0121
SAFG55,均成均享1号1期,2025-02-07,1.0418,1.0418
SAFG55,均成均享1号1期,2025-02-14,1.0419,1.0419
SAFG55,均成均享1号1期,2025-02-17,1.039,1.039
SAFG55,均成均享1号1期,2025-02-21,1.0537,1.0537
SAFG55,均成均享1号1期,2025-02-28,1.0506,1.0506
SAFG55,均成均享1号1期,2025-03-07,1.0685,1.0685
SAFG55,均成均享1号1期,2025-03-14,1.0847,1.0847
SAFG55,均成均享1号1期,2025-03-17,1.085,1.085
