基金代码,基金名称,日期,单位净值,累计净值
STA888,源乐晟-晟世10号8期,2022-01-06,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-10,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-11,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-12,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-13,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-14,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-17,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-18,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-19,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-20,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-21,1.0,1.0
STA888,源乐晟-晟世10号8期,2022-01-27,1.0001,1.0001
STA888,源乐晟-晟世10号8期,2022-02-10,0.9876,0.9876
STA888,源乐晟-晟世10号8期,2022-02-17,0.9649,0.9649
STA888,源乐晟-晟世10号8期,2022-02-24,0.9793,0.9793
STA888,源乐晟-晟世10号8期,2022-03-01,0.9845,0.9845
STA888,源乐晟-晟世10号8期,2022-03-04,0.9903,0.9903
STA888,源乐晟-晟世10号8期,2022-03-10,0.9684,0.9684
STA888,源乐晟-晟世10号8期,2022-03-17,0.9534,0.9534
STA888,源乐晟-晟世10号8期,2022-03-24,0.9482,0.9482
STA888,源乐晟-晟世10号8期,2022-03-31,0.9302,0.9302
STA888,源乐晟-晟世10号8期,2022-04-11,0.9256,0.9256
STA888,源乐晟-晟世10号8期,2022-04-14,0.9145,0.9145
STA888,源乐晟-晟世10号8期,2022-04-21,0.886,0.886
STA888,源乐晟-晟世10号8期,2022-04-28,0.8714,0.8714
STA888,源乐晟-晟世10号8期,2022-05-06,0.8733,0.8733
STA888,源乐晟-晟世10号8期,2022-05-12,0.868,0.868
STA888,源乐晟-晟世10号8期,2022-05-19,0.8744,0.8744
STA888,源乐晟-晟世10号8期,2022-05-26,0.8862,0.8862
STA888,源乐晟-晟世10号8期,2022-05-31,0.8842,0.8842
STA888,源乐晟-晟世10号8期,2022-06-02,0.892,0.892
