日期,单位净值,累计净值,累计单位净值,基金id
2024-05-07,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-08,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-09,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-10,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-13,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-14,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-15,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-16,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-17,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-20,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-21,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-22,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-23,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-24,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-27,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-28,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-05-31,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-06-07,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-06-14,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-06-18,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-06-21,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-06-25,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-06-28,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-07-02,1.0,1.0,1.0,上海宽德飞虹26号私募证券投资基金B
2024-07-05,1.001,1.001,1.001,上海宽德飞虹26号私募证券投资基金B
2024-07-12,1.01,1.01,1.01,上海宽德飞虹26号私募证券投资基金B
2024-07-19,1.003,1.003,1.003,上海宽德飞虹26号私募证券投资基金B
2024-07-23,0.989,0.989,0.989,上海宽德飞虹26号私募证券投资基金B
2024-07-26,0.991,0.991,0.9909999999999999,上海宽德飞虹26号私募证券投资基金B
2024-08-02,1.02,1.02,1.0199999999999998,上海宽德飞虹26号私募证券投资基金B
2024-08-09,1.007,1.007,1.0069999999999997,上海宽德飞虹26号私募证券投资基金B
2024-08-12,1.0,1.0,0.9999999999999998,上海宽德飞虹26号私募证券投资基金B
2024-08-16,1.012,1.012,1.0119999999999998,上海宽德飞虹26号私募证券投资基金B
2024-08-20,1.0,1.0,0.9999999999999998,上海宽德飞虹26号私募证券投资基金B
2024-08-23,0.987,0.987,0.9869999999999998,上海宽德飞虹26号私募证券投资基金B
2024-08-30,1.004,1.004,1.0039999999999998,上海宽德飞虹26号私募证券投资基金B
2024-09-06,0.986,0.986,0.9859999999999998,上海宽德飞虹26号私募证券投资基金B
2024-09-10,0.987,0.987,0.9869999999999998,上海宽德飞虹26号私募证券投资基金B
2024-09-12,0.978,0.978,0.9779999999999998,上海宽德飞虹26号私募证券投资基金B
2024-09-13,0.969,0.969,0.9689999999999998,上海宽德飞虹26号私募证券投资基金B
2024-09-20,0.984,0.984,0.9839999999999997,上海宽德飞虹26号私募证券投资基金B
2024-09-24,1.027,1.027,1.0269999999999997,上海宽德飞虹26号私募证券投资基金B
2024-09-27,1.112,1.112,1.1119999999999999,上海宽德飞虹26号私募证券投资基金B
2024-09-30,1.206,1.206,1.2059999999999997,上海宽德飞虹26号私募证券投资基金B
2024-10-09,1.172,1.172,1.1719999999999997,上海宽德飞虹26号私募证券投资基金B
2024-10-11,1.148,1.148,1.1479999999999997,上海宽德飞虹26号私募证券投资基金B
2024-10-14,1.19,1.19,1.1899999999999997,上海宽德飞虹26号私募证券投资基金B
2024-10-18,1.213,1.213,1.2129999999999999,上海宽德飞虹26号私募证券投资基金B
2024-10-22,1.248,1.248,1.2479999999999998,上海宽德飞虹26号私募证券投资基金B
2024-10-25,1.274,1.274,1.2739999999999996,上海宽德飞虹26号私募证券投资基金B
2024-10-29,1.287,1.287,1.2869999999999995,上海宽德飞虹26号私募证券投资基金B
2024-11-01,1.292,1.292,1.2919999999999996,上海宽德飞虹26号私募证券投资基金B
2024-11-05,1.341,1.341,1.3409999999999995,上海宽德飞虹26号私募证券投资基金B
2024-11-08,1.378,1.378,1.3779999999999997,上海宽德飞虹26号私募证券投资基金B
2024-11-12,1.378,1.378,1.3779999999999997,上海宽德飞虹26号私募证券投资基金B
2024-11-15,1.336,1.336,1.3359999999999999,上海宽德飞虹26号私募证券投资基金B
2024-11-19,1.347,1.347,1.3469999999999998,上海宽德飞虹26号私募证券投资基金B
2024-11-22,1.34,1.34,1.3399999999999999,上海宽德飞虹26号私募证券投资基金B
2024-11-26,1.353,1.353,1.3529999999999998,上海宽德飞虹26号私募证券投资基金B
2024-11-29,1.39,1.39,1.3899999999999997,上海宽德飞虹26号私募证券投资基金B
2024-12-03,1.423,1.423,1.4229999999999998,上海宽德飞虹26号私募证券投资基金B
