基金代码,基金名称,日期,单位净值,累计净值
SXY216,托特春晓市场中性8号,2023-04-10,0.955,0.955
SXY216,托特春晓市场中性8号,2023-04-11,0.956,0.956
SXY216,托特春晓市场中性8号,2023-04-12,0.959,0.959
SXY216,托特春晓市场中性8号,2023-04-13,0.958,0.958
SXY216,托特春晓市场中性8号,2023-04-14,0.959,0.959
SXY216,托特春晓市场中性8号,2023-04-17,0.96,0.96
SXY216,托特春晓市场中性8号,2023-04-18,1.0,1.0
SXY216,托特春晓市场中性8号,2023-04-19,0.963,0.963
SXY216,托特春晓市场中性8号,2023-04-20,0.964,0.964
SXY216,托特春晓市场中性8号,2023-04-21,0.96,0.96
SXY216,托特春晓市场中性8号,2023-04-24,0.964,0.964
SXY216,托特春晓市场中性8号,2023-04-25,0.96,0.96
SXY216,托特春晓市场中性8号,2023-04-26,0.964,0.964
SXY216,托特春晓市场中性8号,2023-04-27,0.967,0.967
SXY216,托特春晓市场中性8号,2023-04-28,0.971,0.971
SXY216,托特春晓市场中性8号,2023-05-04,0.971,0.971
SXY216,托特春晓市场中性8号,2023-05-05,0.972,0.972
SXY216,托特春晓市场中性8号,2023-05-08,0.972,0.972
SXY216,托特春晓市场中性8号,2023-05-09,0.969,0.969
SXY216,托特春晓市场中性8号,2023-05-10,0.973,0.973
SXY216,托特春晓市场中性8号,2023-05-11,0.974,0.974
SXY216,托特春晓市场中性8号,2023-05-12,0.975,0.975
SXY216,托特春晓市场中性8号,2023-05-15,0.979,0.979
SXY216,托特春晓市场中性8号,2023-05-16,0.979,0.979
SXY216,托特春晓市场中性8号,2023-05-17,0.983,0.983
