日期,单位净值,累计净值,累计单位净值,基金id
2024-05-16,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-17,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-20,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-21,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-22,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-23,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-24,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-27,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-28,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-29,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-30,1.0,1.0,1.0,茂源量化选股15号1期
2024-05-31,1.0,1.0,1.0,茂源量化选股15号1期
2024-06-03,1.0,1.0,1.0,茂源量化选股15号1期
2024-06-04,1.0,1.0,1.0,茂源量化选股15号1期
2024-06-05,1.0,1.0,1.0,茂源量化选股15号1期
2024-06-06,1.0,1.0,1.0,茂源量化选股15号1期
2024-06-07,1.0,1.0,1.0,茂源量化选股15号1期
2024-06-14,0.9999,0.9999,0.9999,茂源量化选股15号1期
2024-06-17,0.9998,0.9998,0.9998,茂源量化选股15号1期
2024-06-21,1.0,1.0,1.0,茂源量化选股15号1期
2024-06-28,0.9906,0.9906,0.9906,茂源量化选股15号1期
2024-07-05,0.9806,0.9806,0.9806,茂源量化选股15号1期
2024-07-12,0.9973,0.9973,0.9973,茂源量化选股15号1期
2024-07-15,0.9798,0.9798,0.9798,茂源量化选股15号1期
2024-07-19,0.976,0.976,0.976,茂源量化选股15号1期
2024-07-26,0.9683,0.9683,0.9683,茂源量化选股15号1期
2024-08-02,0.9979,0.9979,0.9979,茂源量化选股15号1期
2024-08-09,0.9873,0.9873,0.9873,茂源量化选股15号1期
2024-08-15,0.9937,0.9937,0.9936999999999999,茂源量化选股15号1期
2024-08-16,0.9896,0.9896,0.9895999999999999,茂源量化选股15号1期
2024-08-23,0.9497,0.9497,0.9496999999999999,茂源量化选股15号1期
2024-08-30,0.9876,0.9876,0.9875999999999999,茂源量化选股15号1期
2024-09-06,0.967,0.967,0.9669999999999999,茂源量化选股15号1期
2024-09-13,0.9541,0.9541,0.9540999999999998,茂源量化选股15号1期
2024-09-18,0.9486,0.9486,0.9485999999999999,茂源量化选股15号1期
2024-09-20,0.968,0.968,0.9679999999999999,茂源量化选股15号1期
2024-09-27,1.1054,1.1054,1.1053999999999997,茂源量化选股15号1期
2024-09-30,1.2215,1.2215,1.2214999999999998,茂源量化选股15号1期
2024-10-11,1.1608,1.1608,1.1607999999999998,茂源量化选股15号1期
2024-10-15,1.1819,1.1819,1.1818999999999997,茂源量化选股15号1期
2024-10-18,1.2232,1.2232,1.2231999999999998,茂源量化选股15号1期
2024-10-25,1.2924,1.2924,1.2924,茂源量化选股15号1期
2024-11-01,1.2852,1.2852,1.2852,茂源量化选股15号1期
2024-11-08,1.3964,1.3964,1.3964,茂源量化选股15号1期
2024-11-15,1.3666,1.3666,1.3666,茂源量化选股15号1期
2024-11-22,1.3584,1.3584,1.3584,茂源量化选股15号1期
2024-11-29,1.4181,1.4181,1.4181,茂源量化选股15号1期
2024-12-06,1.4759,1.4759,1.4759,茂源量化选股15号1期
2024-12-13,1.4971,1.4971,1.4971,茂源量化选股15号1期
2024-12-16,1.4909,1.4909,1.4909,茂源量化选股15号1期
2024-12-20,1.4778,1.4778,1.4778,茂源量化选股15号1期
2024-12-26,1.4306,1.4306,1.4306,茂源量化选股15号1期
2024-12-27,1.4448,1.4448,1.4448,茂源量化选股15号1期
2024-12-31,1.4052,1.4052,1.4052,茂源量化选股15号1期
2025-01-03,1.3376,1.3376,1.3376,茂源量化选股15号1期
2025-01-10,1.3328,1.3328,1.3328,茂源量化选股15号1期
2025-01-15,1.393,1.393,1.393,茂源量化选股15号1期
2025-01-17,1.4058,1.4058,1.4058,茂源量化选股15号1期
2025-01-24,1.4208,1.4208,1.4208,茂源量化选股15号1期
2025-01-27,1.4101,1.4101,1.4101,茂源量化选股15号1期
2025-02-07,1.469,1.469,1.469,茂源量化选股15号1期
2025-02-14,1.4958,1.4958,1.4958,茂源量化选股15号1期
2025-02-17,1.5106,1.5106,1.5106000000000002,茂源量化选股15号1期
2025-02-21,1.5302,1.5302,1.5302000000000002,茂源量化选股15号1期
2025-02-28,1.5119,1.5119,1.5119000000000002,茂源量化选股15号1期
2025-03-07,1.5613,1.5613,1.5613000000000004,茂源量化选股15号1期
2025-03-14,1.6006,1.6006,1.6006000000000005,茂源量化选股15号1期
2025-03-17,1.6097,1.6097,1.6097000000000004,茂源量化选股15号1期
