日期,单位净值,累计净值,复权净值
2018-09-07,1.0,1.0,1.0
2018-09-14,1.0,1.0,1.0
2018-09-21,1.0,1.0,1.0
2018-09-28,1.0,1.0,1.0
2018-10-12,1.0,1.0,1.0
2018-10-19,1.002,1.002,1.002
2018-10-26,0.983,0.983,0.983
2018-10-31,1.01,1.01,1.01
2018-11-02,0.995,0.995,0.995
2018-11-09,1.001,1.001,1.001
2018-11-16,1.015,1.015,1.015
2018-11-23,1.13,1.13,1.13
2018-11-30,1.11,1.11,1.11
2018-12-07,1.074,1.074,1.074
2018-12-14,1.062,1.062,1.062
2018-12-21,1.072,1.072,1.072
2018-12-28,1.154,1.154,1.154
2019-01-04,1.206,1.206,1.206
2019-01-11,1.156,1.156,1.156
2019-01-18,1.13,1.13,1.13
2019-01-25,1.108,1.108,1.108
2019-01-31,1.178,1.178,1.178
2019-02-01,1.179,1.179,1.179
2019-02-15,1.329,1.329,1.329
2019-02-22,1.382,1.382,1.382
2019-02-28,1.593,1.593,1.593
2019-03-01,1.587,1.587,1.587
2019-03-08,1.599,1.599,1.599
2019-03-15,1.666,1.666,1.666
2019-03-22,1.66,1.66,1.66
2019-03-29,1.687,1.687,1.687
2019-04-04,1.743,1.743,1.743
2019-04-12,1.697,1.697,1.697
2019-04-19,1.723,1.723,1.723
2019-04-26,1.657,1.657,1.657
2019-04-30,1.662,1.662,1.662
2019-05-10,1.62,1.62,1.62
2019-05-17,1.654,1.654,1.654
2019-05-24,1.694,1.694,1.694
2019-05-31,1.764,1.764,1.764
2019-06-06,1.864,1.864,1.864
2019-06-14,2.144,2.144,2.144
2019-06-21,2.304,2.304,2.304
2019-06-28,2.438,2.438,2.438
2019-07-05,2.446,2.446,2.446
2019-07-12,2.422,2.422,2.422
2019-07-19,2.452,2.452,2.452
2019-07-26,2.42,2.42,2.42
2019-07-31,2.437,2.437,2.437
2019-08-02,2.433,2.433,2.433
2019-08-09,2.497,2.497,2.497
2019-08-16,2.505,2.505,2.505
2019-08-23,2.507,2.507,2.507
2019-08-30,2.522,2.522,2.522
2019-09-03,2.555,2.555,2.555
2019-09-06,2.6486,2.6486,2.6486
2019-09-12,2.6754,2.6754,2.6754
2019-09-20,2.5907,2.5907,2.5907
2019-09-27,2.584,2.584,2.584
2019-09-30,2.5818,2.5818,2.5818
2019-10-11,2.6018,2.6018,2.6018
2019-10-18,2.604,2.604,2.604
2019-10-25,2.6107,2.6107,2.6107
2019-10-31,2.6063,2.6063,2.6063
2019-11-01,2.6107,2.6107,2.6107
2019-11-08,2.5951,2.5951,2.5951
2019-11-15,2.5884,2.5884,2.5884
2019-11-22,2.5929,2.5929,2.5929
2019-11-29,2.5862,2.5862,2.5862
2019-12-06,2.5706,2.5706,2.5706
2019-12-13,2.6263,2.6263,2.6263
2019-12-20,2.6709,2.6709,2.6709
2019-12-27,2.6776,2.6776,2.6776
2019-12-31,2.6754,2.6754,2.6754
2020-01-03,2.6999,2.6999,2.6999
2020-01-10,2.6999,2.6999,2.6999
2020-01-17,2.6865,2.6865,2.6865
2020-01-23,2.6754,2.6754,2.6754
2020-02-07,2.6709,2.6709,2.6709
2020-02-14,2.6709,2.6709,2.6709
2020-02-21,2.7022,2.7022,2.7022
2020-02-28,2.6486,2.6486,2.6486
2020-03-06,2.6888,2.6888,2.6888
2020-03-13,2.7155,2.7155,2.7155
2020-03-20,2.7267,2.7267,2.7267
2020-03-27,2.7289,2.7289,2.7289
2020-03-31,2.6955,2.6955,2.6955
2020-04-03,2.691,2.691,2.691
2020-04-10,2.7445,2.7445,2.7445
2020-04-17,2.6955,2.6955,2.6955
2020-04-24,2.7222,2.7222,2.7222
2020-04-30,2.7155,2.7155,2.7155
2020-05-08,2.74,2.74,2.74
2020-05-15,2.7467,2.7467,2.7467
2020-05-22,2.7512,2.7512,2.7512
2020-05-29,2.8002,2.8002,2.8002
2020-06-05,2.7579,2.7579,2.7579
2020-06-12,2.7244,2.7244,2.7244
2020-06-19,2.7356,2.7356,2.7356
2020-06-24,2.749,2.749,2.749
2020-06-30,2.7557,2.7557,2.7557
2020-07-03,2.9273,2.9273,2.9273
2020-07-10,3.1904,3.1904,3.1904
2020-07-17,3.1525,3.1525,3.1525
2020-07-24,3.1659,3.1659,3.1659
2020-07-31,3.128,3.128,3.128
2020-08-07,3.1258,3.1258,3.1258
2020-08-14,3.1659,3.1659,3.1659
2020-08-21,3.1391,3.1391,3.1391
2020-08-28,3.148,3.148,3.148
2020-08-31,3.1347,3.1347,3.1347
2020-09-04,3.128,3.128,3.128
2020-09-11,3.0923,3.0923,3.0923
2020-09-18,3.0879,3.0879,3.0879
2020-09-25,3.0589,3.0589,3.0589
2020-09-30,3.0544,3.0544,3.0544
2020-10-09,3.0522,3.0522,3.0522
2020-10-16,3.0366,3.0366,3.0366
2020-10-23,3.0522,3.0522,3.0522
2020-10-30,3.0321,3.0321,3.0321
2020-11-06,3.0455,3.0455,3.0455
2020-11-13,3.0722,3.0722,3.0722
2020-11-20,3.0722,3.0722,3.0722
2020-11-27,3.1213,3.1213,3.1213
2020-11-30,3.1614,3.1614,3.1614
2020-12-04,3.1949,3.1949,3.1949
2020-12-11,3.1302,3.1302,3.1302
2020-12-18,3.1369,3.1369,3.1369
2020-12-25,3.1235,3.1235,3.1235
2020-12-31,3.1235,3.1235,3.1235
2021-01-08,3.2239,3.2239,3.2239
2021-01-15,3.2395,3.2395,3.2395
2021-01-22,3.1904,3.1904,3.1904
2021-01-29,3.1102,3.1102,3.1102
2021-02-05,3.0968,3.0968,3.0968
2021-02-10,3.0366,3.0366,3.0366
2021-02-19,3.0433,3.0433,3.0433
2021-02-26,3.0121,3.0121,3.0121
2021-03-05,3.0277,3.0277,3.0277
2021-03-12,3.0031,3.0031,3.0031
2021-03-19,3.0277,3.0277,3.0277
2021-03-26,3.0121,3.0121,3.0121
2021-03-31,3.0121,3.0121,3.0121
2021-04-02,2.9987,2.9987,2.9987
2021-04-09,3.0121,3.0121,3.0121
2021-04-16,3.0031,3.0031,3.0031
2021-04-23,2.9786,2.9786,2.9786
2021-04-30,3.0344,3.0344,3.0344
2021-05-07,3.0656,3.0656,3.0656
2021-05-14,3.0165,3.0165,3.0165
2021-05-21,3.0901,3.0901,3.0901
2021-05-28,3.0678,3.0678,3.0678
2021-05-31,3.1124,3.1124,3.1124
2021-06-04,3.1793,3.1793,3.1793
2021-06-11,3.1012,3.1012,3.1012
2021-06-18,3.1124,3.1124,3.1124
2021-06-25,3.1168,3.1168,3.1168
2021-06-30,3.0834,3.0834,3.0834
2021-07-02,3.2105,3.2105,3.2105
2021-07-09,3.4914,3.4914,3.4914
2021-07-16,3.4424,3.4424,3.4424
2021-07-23,3.507,3.507,3.507
2021-07-30,3.5159,3.5159,3.5159
2021-08-06,3.4713,3.4713,3.4713
2021-08-13,3.5293,3.5293,3.5293
2021-08-20,3.5404,3.5404,3.5404
2021-08-27,3.4624,3.4624,3.4624
2021-08-31,3.4468,3.4468,3.4468
2021-09-03,3.4803,3.4803,3.4803
2021-09-10,3.4312,3.4312,3.4312
2021-09-17,3.4468,3.4468,3.4468
2021-09-24,3.4691,3.4691,3.4691
2021-09-30,3.3443,3.3443,3.3443
2021-10-08,3.3777,3.3777,3.3777
2021-10-15,3.3844,3.3844,3.3844
2021-10-22,3.4535,3.4535,3.4535
2021-10-29,3.4602,3.4602,3.4602
2021-11-05,3.4156,3.4156,3.4156
